dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,42,5000,784,Uncovered-First,15.822892812230254,1,0.0036159890005365014
MNIST_Subset,42,5000,784,Farthest-First,15.822892812230254,1,0.008961622999777319
MNIST_Subset,42,5000,784,Greedy,15.822892812230254,1,0.05191784400085453
MNIST_Subset,42,5000,784,Uncovered-First,11.031659560549667,14,0.003050327000892139
MNIST_Subset,42,5000,784,Farthest-First,11.031659560549667,18,0.0007142849990486866
MNIST_Subset,42,5000,784,Greedy,11.031659560549667,16,0.05617454599996563
MNIST_Subset,42,5000,784,Uncovered-First,7.691230301819476,544,0.00678212899947539
MNIST_Subset,42,5000,784,Farthest-First,7.691230301819476,578,0.010226903001239407
MNIST_Subset,42,5000,784,Greedy,7.691230301819476,499,0.05476641399945947
MNIST_Subset,42,5000,784,Uncovered-First,5.362295965619756,3026,0.024897187999158632
MNIST_Subset,42,5000,784,Farthest-First,5.362295965619756,3080,0.04426598800091597
MNIST_Subset,42,5000,784,Greedy,5.362295965619756,2886,0.07249768000110635
MNIST_Subset,42,5000,784,Uncovered-First,3.7385719702216784,4431,0.03685284099992714
MNIST_Subset,42,5000,784,Farthest-First,3.7385719702216784,4443,0.06380042700038757
MNIST_Subset,42,5000,784,Greedy,3.7385719702216784,4417,0.08292361999883724
MNIST_Subset,42,5000,784,Uncovered-First,2.606517891988791,4750,0.040078201000142144
MNIST_Subset,42,5000,784,Farthest-First,2.606517891988791,4749,0.06948841899975378
MNIST_Subset,42,5000,784,Greedy,2.606517891988791,4726,0.09144555799866794
MNIST_Subset,42,5000,784,Uncovered-First,1.8172541749556967,4953,0.04108386799998698
MNIST_Subset,42,5000,784,Farthest-First,1.8172541749556967,4951,0.07196638799905486
MNIST_Subset,42,5000,784,Greedy,1.8172541749556967,4947,0.08592456499900436
MNIST_Subset,42,5000,784,Uncovered-First,1.2669825695591703,4999,0.03857465900000534
MNIST_Subset,42,5000,784,Farthest-First,1.2669825695591703,4999,0.07118365200039989
MNIST_Subset,42,5000,784,Greedy,1.2669825695591703,4999,0.08559273600076267
MNIST_Subset,42,5000,784,Uncovered-First,0.8833353383853926,5000,0.03990184400026919
MNIST_Subset,42,5000,784,Farthest-First,0.8833353383853926,5000,0.07094243500068842
MNIST_Subset,42,5000,784,Greedy,0.8833353383853926,5000,0.08720820000053209
MNIST_Subset,42,5000,784,Uncovered-First,0.6158579753089456,5000,0.04264148299989756
